Timezone,Datetime,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),CO2 (ppm),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb)
America/New_York UTC-05:00,2021-01-29 20:00:00,1357,491,1799,2000,411.0,-5.0,23.0,43.0,,,
America/New_York UTC-05:00,2021-01-29 19:00:00,1357,491,1799,2000,412.0,-5.0,23.0,42.0,,,
America/New_York UTC-05:00,2021-01-29 18:00:00,1357,491,1799,2000,409.0,-4.0,24.8,41.0,,,
America/New_York UTC-05:00,2021-01-29 17:00:00,1357,491,1799,2000,408.0,-4.0,24.8,39.0,,,
America/New_York UTC-05:00,2021-01-29 16:00:00,1357,491,1799,2000,407.0,-2.0,28.4,36.0,,,
America/New_York UTC-05:00,2021-01-29 15:00:00,1357,491,1799,2000,409.0,-2.0,28.4,35.0,,,
America/New_York UTC-05:00,2021-01-29 14:00:00,1357,491,1799,2000,406.0,-2.0,28.4,35.0,,,
America/New_York UTC-05:00,2021-01-29 13:00:00,1357,491,1799,2000,406.0,-2.0,28.4,35.0,,,
America/New_York UTC-05:00,2021-01-29 12:00:00,1357,491,1799,2000,407.0,-3.0,26.6,36.0,,,
America/New_York UTC-05:00,2021-01-29 11:00:00,1357,491,1799,2000,403.0,-4.0,24.8,38.0,,,
America/New_York UTC-05:00,2021-01-29 10:00:00,1357,491,1799,2000,406.0,-4.0,24.8,39.0,,,
America/New_York UTC-05:00,2021-01-29 09:00:00,1357,491,1799,2000,407.0,-5.0,23.0,40.0,5.4,,
America/New_York UTC-05:00,2021-01-29 08:00:00,1357,491,1799,2000,409.0,-6.0,21.2,42.0,3.8,,
America/New_York UTC-05:00,2021-01-29 07:00:00,1357,491,1799,2000,409.0,-7.0,19.4,43.0,3,,
America/New_York UTC-05:00,2021-01-29 06:00:00,1357,491,1799,2000,406.0,-6.0,21.2,43.0,,,
America/New_York UTC-05:00,2021-01-29 05:00:00,1357,491,1799,2000,402.0,-5.0,23.0,44.0,2.4,,
America/New_York UTC-05:00,2021-01-29 04:00:00,1357,491,1799,2000,401.0,-4.0,24.8,45.0,3.6,,
America/New_York UTC-05:00,2021-01-29 03:00:00,1357,491,1799,2000,407.0,-5.0,23.0,46.0,5.6,,
America/New_York UTC-05:00,2021-01-29 02:00:00,1357,491,1799,2000,409.0,-5.0,23.0,45.0,5,,
America/New_York UTC-05:00,2021-01-29 00:00:00,1357,491,1799,2000,402.0,-5.0,23.0,45.0,2.7,,
America/New_York UTC-05:00,2021-01-28 23:00:00,1357,491,1799,2000,403.0,-4.0,24.8,45.0,4.8,,
America/New_York UTC-05:00,2021-01-28 22:00:00,1357,491,1799,2000,407.0,-4.0,24.8,44.0,,,
America/New_York UTC-05:00,2021-01-28 21:00:00,1357,491,1799,2000,407.0,-4.0,24.8,43.0,,,
America/New_York UTC-05:00,2021-01-28 20:00:00,1357,491,1799,2000,408.0,-4.0,24.8,41.0,,,
America/New_York UTC-05:00,2021-01-28 19:00:00,1357,491,1799,2000,409.0,-3.0,26.6,39.0,,,
America/New_York UTC-05:00,2021-01-28 18:00:00,1357,491,1799,2000,408.0,-2.0,28.4,39.0,,,
America/New_York UTC-05:00,2021-01-28 17:00:00,1357,491,1799,2000,409.0,-1.0,30.2,39.0,4.3,,
America/New_York UTC-05:00,2021-01-28 16:00:00,1357,491,1799,2000,407.0,1.0,33.8,37.0,2.4,,
America/New_York UTC-05:00,2021-01-28 15:00:00,1357,491,1799,2000,407.0,2.0,35.6,37.0,1.2,,
America/New_York UTC-05:00,2021-01-28 14:00:00,1357,491,1799,2000,406.0,2.0,35.6,38.0,0.5,,
America/New_York UTC-05:00,2021-01-28 13:00:00,1357,491,1799,2000,408.0,2.0,35.6,39.0,0.5,,
America/New_York UTC-05:00,2021-01-28 12:00:00,1357,491,1799,2000,408.0,2.0,35.6,42.0,1.2,,
America/New_York UTC-05:00,2021-01-28 11:00:00,1357,491,1799,2000,409.0,2.0,35.6,44.0,2,,
America/New_York UTC-05:00,2021-01-28 10:00:00,1357,491,1799,2000,409.0,1.0,33.8,47.0,0.8,,
America/New_York UTC-05:00,2021-01-28 09:00:00,1357,491,1799,2000,412.0,0.0,32.0,52.0,1.7,,
America/New_York UTC-05:00,2021-01-28 08:00:00,1357,491,1799,2000,414.0,0.0,32.0,54.0,4.4,,
America/New_York UTC-05:00,2021-01-28 07:00:00,1357,491,1799,2000,415.0,0.0,32.0,54.0,3.9,,
America/New_York UTC-05:00,2021-01-28 06:00:00,1357,491,1799,2000,413.0,0.0,32.0,53.0,4.4,,
America/New_York UTC-05:00,2021-01-28 05:00:00,1357,491,1799,2000,414.0,0.0,32.0,54.0,3.8,,
America/New_York UTC-05:00,2021-01-28 04:00:00,1357,491,1799,2000,414.0,0.0,32.0,54.0,4.1,,
America/New_York UTC-05:00,2021-01-28 02:00:00,1357,491,1799,2000,411.1,0.6,33.1,56.0,4.7,,
America/New_York UTC-05:00,2021-01-27 23:00:00,1357,491,1799,2000,417.1,1.1,34.0,59.7,5.9,,
America/New_York UTC-05:00,2021-01-27 22:00:00,1357,491,1799,2000,416.3,1.3,34.3,59.7,5.4,,
America/New_York UTC-05:00,2021-01-27 21:00:00,1357,491,1799,2000,414.5,1.6,34.8,58.9,5.5,,
America/New_York UTC-05:00,2021-01-27 20:00:00,1357,491,1799,2000,413.3,2.0,35.6,58.6,6.6,,
America/New_York UTC-05:00,2021-01-27 19:00:00,1357,491,1799,2000,415.9,2.6,36.6,58.0,6.8,,
America/New_York UTC-05:00,2021-01-27 18:00:00,1357,491,1799,2000,417.0,3.2,37.7,57.8,6.2,,
America/New_York UTC-05:00,2021-01-27 17:00:00,1357,491,1799,2000,421.0,3.8,38.8,58.7,5.3,,
America/New_York UTC-05:00,2021-01-27 16:00:00,1357,491,1799,2000,422.2,4.3,39.8,58.4,5.8,,
America/New_York UTC-05:00,2021-01-27 15:00:00,1357,491,1799,2000,418.3,4.5,40.2,57.6,6.5,,
America/New_York UTC-05:00,2021-01-27 14:00:00,1357,491,1799,2000,416.7,4.9,40.9,57.7,7,,
America/New_York UTC-05:00,2021-01-27 13:00:00,1357,491,1799,2000,417.6,5.0,41.1,59.0,8.9,,
America/New_York UTC-05:00,2021-01-27 12:00:00,1357,491,1799,2000,423.2,4.5,40.2,60.6,8.5,,
America/New_York UTC-05:00,2021-01-27 11:00:00,1357,491,1799,2000,416.1,4.4,39.9,60.7,10,,
America/New_York UTC-05:00,2021-01-27 10:00:00,1357,491,1799,2000,419.7,4.9,40.8,62.0,15.4,,
America/New_York UTC-05:00,2021-01-27 09:00:00,1357,491,1799,2000,424.9,5.0,41.0,63.8,18.5,,
America/New_York UTC-05:00,2021-01-27 08:00:00,1357,491,1799,2000,430.0,4.2,39.6,73.0,,,
America/New_York UTC-05:00,2021-01-27 07:00:00,1357,491,1799,2000,449.8,3.2,37.8,78.8,,,
America/New_York UTC-05:00,2021-01-27 06:00:00,1357,491,1799,2000,455.4,3.2,37.8,80.5,,,
America/New_York UTC-05:00,2021-01-27 05:00:00,1357,491,1799,2000,443.6,2.9,37.3,81.9,,,
America/New_York UTC-05:00,2021-01-27 04:00:00,1357,491,1799,2000,435.7,2.8,37.1,81.3,14.5,,
America/New_York UTC-05:00,2021-01-27 03:00:00,1357,491,1799,2000,444.1,2.9,37.3,81.0,12.9,,
America/New_York UTC-05:00,2021-01-27 02:00:00,1357,491,1799,2000,439.3,2.8,37.0,81.0,8.6,,
America/New_York UTC-05:00,2021-01-27 01:00:00,1357,491,1799,2000,436.7,2.6,36.6,81.4,8.7,,
America/New_York UTC-05:00,2021-01-27 00:00:00,1357,491,1799,2000,435.9,2.7,36.9,81.7,11.5,,
America/New_York UTC-05:00,2021-01-26 23:00:00,1357,491,1799,2000,440.2,2.8,37.1,82.8,11.2,,
America/New_York UTC-05:00,2021-01-26 22:00:00,1357,491,1799,2000,429.5,2.4,36.3,84.6,9.8,,
America/New_York UTC-05:00,2021-01-26 21:00:00,1357,491,1799,2000,429.4,2.5,36.5,84.3,9.3,,
America/New_York UTC-05:00,2021-01-26 20:00:00,1357,491,1799,2000,433.9,2.6,36.7,85.4,9.7,,
America/New_York UTC-05:00,2021-01-26 19:00:00,1357,491,1799,2000,432.5,2.3,36.1,86.1,11,,
America/New_York UTC-05:00,2021-01-26 18:00:00,1357,491,1799,2000,423.1,2.6,36.7,86.0,11.8,,
America/New_York UTC-05:00,2021-01-26 17:00:00,1357,491,1799,2000,423.2,2.4,36.4,86.7,10.9,,
America/New_York UTC-05:00,2021-01-26 16:00:00,1357,491,1799,2000,427.2,2.0,35.6,86.2,11.5,,
America/New_York UTC-05:00,2021-01-26 15:00:00,1357,491,1799,2000,424.1,1.4,34.6,84.8,11.5,,
America/New_York UTC-05:00,2021-01-26 14:00:00,1357,491,1799,2000,424.6,1.1,34.0,80.6,10.8,,
America/New_York UTC-05:00,2021-01-26 13:00:00,1357,491,1799,2000,429.0,1.0,33.9,77.5,9.7,,
America/New_York UTC-05:00,2021-01-26 12:00:00,1357,491,1799,2000,423.4,1.2,34.1,75.0,8.6,,
America/New_York UTC-05:00,2021-01-26 11:00:00,668,425,755,840,420.0,2.0,35.5,62.0,7.6,,
America/New_York UTC-05:00,2021-01-26 10:00:00,17,6,4,6,423.8,2.2,35.9,51.2,6.6,,
America/New_York UTC-05:00,2021-01-26 09:00:00,15,5,4,5,425.1,2.3,36.1,50.1,6.2,,
America/New_York UTC-05:00,2021-01-26 08:00:00,13,4,3,4,422.2,2.0,35.7,49.5,8.2,,
America/New_York UTC-05:00,2021-01-26 07:00:00,13,5,3,5,423.9,1.8,35.3,50.8,8,,
America/New_York UTC-05:00,2021-01-26 06:00:00,12,4,3,4,419.5,1.6,34.9,50.4,6.9,,
America/New_York UTC-05:00,2021-01-26 05:00:00,16,5,4,6,431.0,1.4,34.5,49.3,7.3,,
America/New_York UTC-05:00,2021-01-26 04:00:00,13,5,3,4,425.6,1.4,34.6,48.3,7.4,,
America/New_York UTC-05:00,2021-01-26 03:00:00,16,6,4,5,425.8,1.6,34.9,48.2,9.1,,
America/New_York UTC-05:00,2021-01-26 02:00:00,16,6,4,5,423.1,1.5,34.6,48.1,9.8,,
America/New_York UTC-05:00,2021-01-26 01:00:00,16,5,4,5,419.1,1.5,34.8,47.1,9,,
America/New_York UTC-05:00,2021-01-26 00:00:00,13,5,3,4,421.3,1.9,35.3,45.1,8.6,,
America/New_York UTC-05:00,2021-01-25 23:00:00,13,5,3,4,421.2,2.0,35.6,45.3,8.7,,
America/New_York UTC-05:00,2021-01-25 22:00:00,14,5,3,4,420.5,1.8,35.2,45.9,9.1,,
America/New_York UTC-05:00,2021-01-25 21:00:00,15,5,4,5,422.0,1.7,35.0,45.4,7.8,,
America/New_York UTC-05:00,2021-01-25 20:00:00,15,5,4,5,434.2,2.4,36.3,44.3,7.9,,
America/New_York UTC-05:00,2021-01-25 19:00:00,15,5,4,6,441.1,3.2,37.8,42.9,8,,
America/New_York UTC-05:00,2021-01-25 18:00:00,13,5,3,5,434.1,3.8,38.9,41.7,5.6,,
America/New_York UTC-05:00,2021-01-25 17:00:00,11,4,3,4,425.7,4.1,39.4,41.2,4.4,,
America/New_York UTC-05:00,2021-01-25 16:00:00,9,3,2,4,419.0,4.8,40.7,40.4,4.4,,
America/New_York UTC-05:00,2021-01-25 15:00:00,9,3,2,4,421.6,5.4,41.7,39.2,3,,
America/New_York UTC-05:00,2021-01-25 14:00:00,6,2,1,2,416.1,5.3,41.6,38.0,1.3,,
America/New_York UTC-05:00,2021-01-25 13:00:00,5,2,1,2,420.3,4.7,40.5,37.8,,,
America/New_York UTC-05:00,2021-01-25 12:00:00,6,2,1,2,418.3,3.6,38.5,39.9,4.2,,
America/New_York UTC-05:00,2021-01-25 11:00:00,11,4,3,4,430.8,1.9,35.5,41.4,5.7,,
America/New_York UTC-05:00,2021-01-25 10:00:00,13,5,3,5,438.4,0.5,32.9,43.8,6.9,,
America/New_York UTC-05:00,2021-01-25 09:00:00,12,4,3,5,438.3,0.5,33.0,43.5,6.5,,
America/New_York UTC-05:00,2021-01-25 08:00:00,8,3,2,3,431.5,-0.8,30.6,46.7,3.7,,
America/New_York UTC-05:00,2021-01-25 07:00:00,8,3,2,3,445.1,-2.1,28.1,48.8,3.4,,
America/New_York UTC-05:00,2021-01-25 06:00:00,5,2,1,2,426.9,-2.1,28.1,47.8,4,,
America/New_York UTC-05:00,2021-01-25 05:00:00,4,1,1,2,419.8,-1.9,28.5,46.4,5.3,,
America/New_York UTC-05:00,2021-01-25 04:00:00,4,1,1,1,414.5,-1.5,29.3,44.9,5.2,,
America/New_York UTC-05:00,2021-01-25 03:00:00,3,1,1,1,410.7,-0.9,30.4,43.4,6,,
America/New_York UTC-05:00,2021-01-25 02:00:00,4,1,1,1,411.1,-0.5,31.0,42.8,7.1,,
America/New_York UTC-05:00,2021-01-25 01:00:00,4,1,1,1,410.8,-0.5,31.1,42.6,5.1,,
America/New_York UTC-05:00,2021-01-25 00:00:00,4,1,1,1,413.0,-0.7,30.7,42.0,3.9,,
America/New_York UTC-05:00,2021-01-24 23:00:00,4,1,1,1,411.3,-0.4,31.3,40.6,4.7,,
America/New_York UTC-05:00,2021-01-24 22:00:00,4,1,1,1,411.2,0.1,32.1,39.4,4.6,,
America/New_York UTC-05:00,2021-01-24 21:00:00,4,1,1,1,411.8,0.7,33.2,38.4,5.8,,
America/New_York UTC-05:00,2021-01-24 20:00:00,4,1,1,1,414.6,0.9,33.7,37.1,6.5,,
America/New_York UTC-05:00,2021-01-24 19:00:00,4,1,1,1,412.1,1.4,34.4,35.8,6.2,,
America/New_York UTC-05:00,2021-01-24 18:00:00,5,2,1,2,418.4,1.8,35.2,35.2,6.2,,
America/New_York UTC-05:00,2021-01-24 17:00:00,6,2,1,2,414.7,1.8,35.2,33.7,3.4,,
America/New_York UTC-05:00,2021-01-24 16:00:00,5,2,1,2,416.1,2.2,36.0,32.9,0.2,,
America/New_York UTC-05:00,2021-01-24 15:00:00,3,1,1,1,413.4,2.4,36.3,32.3,,,
America/New_York UTC-05:00,2021-01-24 14:00:00,3,1,1,1,410.3,2.0,35.6,32.4,,,
America/New_York UTC-05:00,2021-01-24 13:00:00,2,1,1,1,408.6,1.6,34.8,33.7,,,
America/New_York UTC-05:00,2021-01-24 12:00:00,2,1,0,1,407.7,0.8,33.5,34.8,,,
America/New_York UTC-05:00,2021-01-24 11:00:00,1,0,0,1,407.5,0.2,32.4,36.6,,,
America/New_York UTC-05:00,2021-01-24 10:00:00,2,1,0,1,405.3,-0.8,30.5,38.2,1.2,,
America/New_York UTC-05:00,2021-01-24 09:00:00,1,0,0,1,406.4,-1.4,29.5,39.2,2.3,,
